hero_id,opponent_id,value,curated,resolved_value,cpgg,opick,cwatch,disagreement
ana,anran,-46,,-46,-50.0,0.0,-32.0,False
ana,ashe,-17,,-17,-25.0,0.0,,False
ana,baptiste,-25,,-25,-25.0,50.0,,False
ana,bastion,42,,42,50.0,-50.0,,False
ana,brigitte,17,,17,25.0,50.0,-9.0,False
ana,cassidy,2,,2,0.0,0.0,,False
ana,dmon,-56,,-56,-75.0,0.0,-9.0,True
ana,domina,34,,34,,50.0,34.0,False
ana,doomfist,31,,31,50.0,-50.0,-17.0,True
ana,dva,-42,,-42,-75.0,50.0,,True
ana,echo,-18,,-18,-25.0,50.0,,False
ana,freja,-53,,-53,-75.0,-50.0,-4.0,True
ana,genji,-61,,-61,-75.0,0.0,-17.0,False
ana,hanzo,-37,,-37,-50.0,0.0,,False
ana,hazard,56,,56,75.0,0.0,,True
ana,illari,-1,,-1,0.0,0.0,-4.0,False
ana,junker-queen,1,,1,0.0,-50.0,,False
ana,junkrat,-17,,-17,-25.0,0.0,,False
ana,juno,-22,,-22,-25.0,0.0,-13.0,False
ana,kiriko,-40,,-40,-50.0,0.0,-9.0,False
ana,lifeweaver,-23,,-23,-25.0,-50.0,-17.0,False
ana,lucio,-43,,-43,-50.0,0.0,-20.0,False
ana,mauga,56,,56,75.0,0.0,,True
ana,mei,25,,25,25.0,0.0,,False
ana,mercy,40,,40,75.0,0.0,-17.0,True
ana,mizuki,0,-25.0,-25,,,,False
ana,moira,-24,,-24,-25.0,0.0,-22.0,False
ana,orisa,25,,25,25.0,50.0,,False
ana,pharah,23,,23,25.0,0.0,,False
ana,ramattra,44,,44,50.0,0.0,24.0,False
ana,reaper,-25,,-25,-25.0,50.0,,False
ana,reinhardt,7,,7,0.0,50.0,28.0,False
ana,roadhog,82,,82,100.0,0.0,37.0,True
ana,shion,-4,,-4,0.0,100.0,-17.0,False
ana,sierra,-25,,-25,-25.0,0.0,,False
ana,sigma,-75,,-75,-75.0,0.0,,False
ana,sojourn,-25,,-25,-25.0,0.0,,False
ana,soldier-76,0,,0,0.0,0.0,,False
ana,sombra,-40,,-40,-50.0,-50.0,-9.0,False
ana,symmetra,5,,5,0.0,50.0,18.0,False
ana,torbjorn,23,,23,25.0,50.0,,False
ana,tracer,-61,,-61,-75.0,50.0,-17.0,False
ana,vendetta,-41,,-41,-50.0,-50.0,-13.0,False
