hero_id,hero_name,role,rank,input,region,winrate,pickrate,banrate
ana,Ana,SUPPORT,Bronze,PC,Americas,48.2,14.5,5.7
anran,Anran,DAMAGE,Bronze,PC,Americas,51.7,10.6,28.0
ashe,Ashe,DAMAGE,Bronze,PC,Americas,50.2,9.9,0.6
baptiste,Baptiste,SUPPORT,Bronze,PC,Americas,47.8,5.0,0.1
bastion,Bastion,DAMAGE,Bronze,PC,Americas,47.5,18.9,3.9
brigitte,Brigitte,SUPPORT,Bronze,PC,Americas,53.9,3.4,0.2
cassidy,Cassidy,DAMAGE,Bronze,PC,Americas,50.0,8.8,0.9
dmon,D.Mon,TANK,Bronze,PC,Americas,58.2,9.1,21.8
dva,D.Va,TANK,Bronze,PC,Americas,45.7,10.3,3.0
domina,Domina,TANK,Bronze,PC,Americas,49.9,5.8,4.7
doomfist,Doomfist,TANK,Bronze,PC,Americas,53.1,3.3,14.4
echo,Echo,DAMAGE,Bronze,PC,Americas,47.0,4.3,0.7
emre,Emre,DAMAGE,Bronze,PC,Americas,47.6,6.8,0.1
freja,Freja,DAMAGE,Bronze,PC,Americas,46.7,5.9,2.4
genji,Genji,DAMAGE,Bronze,PC,Americas,51.8,7.2,3.3
hanzo,Hanzo,DAMAGE,Bronze,PC,Americas,50.0,7.7,0.6
hazard,Hazard,TANK,Bronze,PC,Americas,50.9,2.3,0.7
illari,Illari,SUPPORT,Bronze,PC,Americas,49.4,5.8,0.2
jetpack-cat,Jetpack Cat,SUPPORT,Bronze,PC,Americas,50.2,5.2,54.5
junker-queen,Junker Queen,TANK,Bronze,PC,Americas,51.9,3.5,0.4
junkrat,Junkrat,DAMAGE,Bronze,PC,Americas,49.7,13.7,7.6
juno,Juno,SUPPORT,Bronze,PC,Americas,50.2,29.9,0.7
kiriko,Kiriko,SUPPORT,Bronze,PC,Americas,46.4,25.1,1.1
lifeweaver,Lifeweaver,SUPPORT,Bronze,PC,Americas,47.9,12.1,0.3
lucio,Lúcio,SUPPORT,Bronze,PC,Americas,48.9,7.5,0.4
mauga,Mauga,TANK,Bronze,PC,Americas,42.7,5.0,21.1
mei,Mei,DAMAGE,Bronze,PC,Americas,51.5,9.1,10.1
mercy,Mercy,SUPPORT,Bronze,PC,Americas,47.8,21.9,6.8
mizuki,Mizuki,SUPPORT,Bronze,PC,Americas,52.1,14.7,1.1
moira,Moira,SUPPORT,Bronze,PC,Americas,52.4,38.9,13.8
orisa,Orisa,TANK,Bronze,PC,Americas,45.9,14.6,10.5
pharah,Pharah,DAMAGE,Bronze,PC,Americas,48.8,4.9,8.7
ramattra,Ramattra,TANK,Bronze,PC,Americas,50.2,11.2,8.6
reaper,Reaper,DAMAGE,Bronze,PC,Americas,51.9,9.8,2.5
reinhardt,Reinhardt,TANK,Bronze,PC,Americas,53.4,12.1,5.5
roadhog,Roadhog,TANK,Bronze,PC,Americas,45.9,4.6,9.3
shion,Shion,DAMAGE,Bronze,PC,Americas,49.8,10.3,1.3
sierra,Sierra,DAMAGE,Bronze,PC,Americas,51.0,17.9,30.1
sigma,Sigma,TANK,Bronze,PC,Americas,48.3,10.6,4.6
sojourn,Sojourn,DAMAGE,Bronze,PC,Americas,43.2,10.5,0.3
soldier-76,Soldier: 76,DAMAGE,Bronze,PC,Americas,48.5,15.3,0.6
sombra,Sombra,DAMAGE,Bronze,PC,Americas,50.0,2.1,72.3
symmetra,Symmetra,DAMAGE,Bronze,PC,Americas,48.2,2.9,3.4
torbjorn,Torbjörn,DAMAGE,Bronze,PC,Americas,53.5,6.1,0.9
tracer,Tracer,DAMAGE,Bronze,PC,Americas,50.5,4.7,8.5
vendetta,Vendetta,DAMAGE,Bronze,PC,Americas,55.7,4.8,5.9
